,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/cjdns,0,1,1,1,1,0
main/cmocka,1,1,1,0,1,1
main/dahdi-linux-hardened,1,1,0,0,0,0
main/devicemaster-linux-hardened,1,1,1,0,0,0
main/drbd9-hardened,1,1,1,0,0,0
main/gnu-efi,1,1,0,1,0,0
main/grub,1,1,0,1,1,0
main/gst-ffmpeg0.10,1,1,0,1,1,1
main/gst-libav1,1,1,0,1,1,1
main/gummiboot,1,1,0,1,0,0
main/libcrystalhd,1,1,0,0,0,0
main/libunwind,0,1,1,1,0,0
main/libva-intel-driver,1,1,0,0,0,0
main/linux-hardened,1,1,1,0,0,0
main/linux-rpi,0,0,1,0,0,0
main/ltrace,1,1,1,0,1,1
main/lua-turbo,1,1,1,1,1,0
main/luajit,1,1,1,1,1,0
main/makekit,1,1,0,0,0,0
main/ocfs2-tools,0,0,0,0,0,0
main/omxplayer,0,0,1,0,0,0
main/open-vm-tools,1,1,0,0,0,0
main/oprofile,0,0,0,0,0,0
main/policyd-spf-fs,1,1,1,0,1,1
main/powerpc-utils,0,0,0,0,1,0
main/raspberrypi,0,0,1,0,0,0
main/reiserfsprogs,0,0,0,0,0,0
main/seabios,1,1,0,0,0,0
main/spl,1,1,0,1,1,1
main/spl-hardened,1,1,0,0,0,0
main/spl-vanilla,1,1,0,1,0,1
main/swfdec-mozilla,1,1,1,0,1,1
main/syslinux,1,1,0,0,0,0
main/syslog-ng,1,1,1,0,1,1
main/tarsnap,1,1,0,0,0,0
main/tsocks,0,1,0,0,0,0
main/u-boot,0,0,1,1,0,0
main/ufsutils,0,0,0,0,0,0
main/v86d,1,1,0,0,0,0
main/valgrind,1,1,1,0,1,1
main/xautolock,1,1,1,0,1,1
main/xe-guest-utilities,1,1,0,0,0,0
main/xen,0,1,1,0,0,0
main/xf86-input-vmmouse,1,1,0,0,0,0
main/xf86-video-intel,1,1,0,0,0,0
main/xf86-video-qxl,1,1,0,0,0,0
main/xf86-video-siliconmotion,1,1,0,0,0,0
main/xf86-video-vmware,1,1,0,0,0,0
main/xtables-addons-hardened,1,1,1,0,0,0
main/yaboot,0,0,0,0,0,0
main/zfs,1,1,0,1,0,1
main/zfs-hardened,1,1,0,0,0,0
main/zfs-vanilla,1,1,0,1,0,1
